id;name;type;city_id;latitude;longitude
001;"Ba Đình";Quận;01;21.0356;105.827
002;"Hoàn Kiếm";Quận;01;21.0314;105.853
003;"Tây Hồ";Quận;01;21.0694;105.819
004;"Long Biên";Quận;01;21.0392;105.885
005;"Cầu Giấy";Quận;01;21.0311;105.789
006;"Đống Đa";Quận;01;21.0156;105.818
007;"Hai Bà Trưng";Quận;01;21.0075;105.86
008;"Hoàng Mai";Quận;01;20.9758;105.856
009;"Thanh Xuân";Quận;01;20.9956;105.816
016;"Sóc Sơn";Huyện;01;21.2819;105.829
017;"Đông Anh";Huyện;01;21.1378;105.827
018;"Gia Lâm";Huyện;01;21.0244;105.948
019;"Nam Từ Liêm";Quận;01;21.0442;105.759
020;"Thanh Trì";Huyện;01;20.9422;105.849
024;"Hà Giang";"Thị Xã";02;22.7731;105.044
026;"Đồng Văn";Huyện;02;23.2428;105.263
027;"Mèo Vạc";Huyện;02;23.1528;105.444
028;"Yên Minh";Huyện;02;23.0722;105.17
029;"Quản Bạ";Huyện;02;23.0675;104.968
030;"Vị Xuyên";Huyện;02;22.7639;104.941
031;"Bắc Mê";Huyện;02;22.7633;105.274
032;"Hoàng Su Phì";Huyện;02;22.6936;104.668
033;"Xín Mần";Huyện;02;22.6347;104.476
034;"Bắc Quang";Huyện;02;22.395;104.918
035;"Quang Bình";Huyện;02;22.3853;104.62
040;"Cao Bằng";"Thành Phố";04;22.6556;106.256
042;"Bảo Lâm";Huyện;04;22.8769;105.458
043;"Bảo Lạc";Huyện;04;22.8753;105.711
044;"Thông Nông";Huyện;04;22.8192;105.951
045;"Hà Quảng";Huyện;04;22.895;106.109
046;"Trà Lĩnh";Huyện;04;22.8039;106.33
047;"Trùng Khánh";Huyện;04;22.8253;106.566
048;"Hạ Lang";Huyện;04;22.7103;106.695
049;"Quảng Uyên";Huyện;04;22.6708;106.462
050;"Phục Hoà";Huyện;04;22.5644;106.501
051;"Hoà An";Huyện;04;22.6889;106.035
052;"Nguyên Bình";Huyện;04;22.6478;105.951
053;"Thạch An";Huyện;04;22.4808;106.331
058;"Bắc Kạn";"Thành Phố";06;22.1333;105.853
060;"Pác Nặm";Huyện;06;22.5961;105.674
061;"Ba Bể";Huyện;06;22.3983;105.725
062;"Ngân Sơn";Huyện;06;22.4306;106.017
063;"Bạch Thông";Huyện;06;22.2011;105.85
064;"Chợ Đồn";Huyện;06;22.1883;105.579
065;"Chợ Mới";Huyện;06;21.9656;105.858
066;"Na Rì";Huyện;06;22.1633;106.086
070;"Tuyên Quang";"Thành Phố";08;21.8278;105.22
071;"Lâm Bình";Huyện;08;21.8208;105.209
072;"Nà Hang";Huyện;08;22.4761;105.351
073;"Chiêm Hóa";Huyện;08;22.2136;105.242
074;"Hàm Yên";Huyện;08;22.0961;105.004
075;"Yên Sơn";Huyện;08;21.8647;105.304
076;"Sơn Dương";Huyện;08;21.6728;105.382
080;"Lào Cai";"Thành Phố";10;22.4186;103.979
082;"Bát Xát";Huyện;10;22.5972;103.747
083;"Mường Khương";Huyện;10;22.6847;104.141
084;"Si Ma Cai";Huyện;10;22.6628;104.268
085;"Bắc Hà";Huyện;10;22.5022;104.315
086;"Bảo Thắng";Huyện;10;22.3797;104.167
087;"Bảo Yên";Huyện;10;22.2939;104.417
088;"Sa Pa";Huyện;10;22.315;103.905
089;"Văn Bàn";Huyện;10;22.0633;104.183
094;"Điện Biên Phủ";"Thành Phố";11;21.4144;103.042
095;"Mường Lay";"Thị Xã";11;22.0297;103.119
096;"Mường Nhé";Huyện;11;22.1031;102.515
097;"Mường Chà";Huyện;11;21.8419;103.054
098;"Tủa Chùa";Huyện;11;21.9719;103.384
099;"Tuần Giáo";Huyện;11;21.6342;103.352
100;"Điện Biên";Huyện;11;21.2553;103.055
101;"Điện Biên Đông";Huyện;11;21.2353;103.255
102;"Mường Ảng";Huyện;11;NULL;NULL
104;"Lai Châu";"Thị Xã";12;22.3875;103.406
106;"Tam Đường";Huyện;12;22.3378;103.548
107;"Mường Tè";Huyện;12;22.4044;102.72
108;"Sìn Hồ";Huyện;12;22.2892;103.303
109;"Phong Thổ";Huyện;12;22.64;103.377
110;"Than Uyên";Huyện;12;21.9931;103.758
111;"Tân Uyên";Huyện;12;NULL;NULL
116;"Sơn La";"Thành Phố";14;21.3442;103.914
118;"Quỳnh Nhai";Huyện;14;21.7761;103.651
119;"Thuận Châu";Huyện;14;21.415;103.663
120;"Mường La";Huyện;14;21.5272;104.047
121;"Bắc Yên";Huyện;14;21.2231;104.369
122;"Phù Yên";Huyện;14;21.2258;104.698
123;"Mộc Châu";Huyện;14;20.8225;104.719
124;"Yên Châu";Huyện;14;20.9925;104.331
125;"Mai Sơn";Huyện;14;21.1689;103.993
126;"Sông Mã";Huyện;14;21.1011;103.732
127;"Sốp Cộp";Huyện;14;20.8794;103.511
128;"Vân Hồ";Huyện;14;20.8794;103.511
132;"Yên Bái";"Thành Phố";15;21.7411;104.895
133;"Nghĩa Lộ";"Thị Xã";15;21.5994;104.489
135;"Lục Yên";Huyện;15;22.1122;104.72
136;"Văn Yên";Huyện;15;21.9319;104.564
137;"Mù Cang Chải";Huyện;15;21.8061;104.15
138;"Trấn Yên";Huyện;15;21.7056;104.816
139;"Trạm Tấu";Huyện;15;21.5111;104.467
140;"Văn Chấn";Huyện;15;21.5708;104.589
141;"Yên Bình";Huyện;15;21.8733;104.921
148;"Hòa Bình";"Thành Phố";17;20.8433;105.322
150;"Đà Bắc";Huyện;17;20.9328;105.081
151;"Kỳ Sơn";Huyện;17;20.9017;105.388
152;"Lương Sơn";Huyện;17;20.8878;105.515
153;"Kim Bôi";Huyện;17;20.6761;105.537
154;"Cao Phong";Huyện;17;20.6897;105.297
155;"Tân Lạc";Huyện;17;20.6122;105.251
156;"Mai Châu";Huyện;17;20.6822;104.996
157;"Lạc Sơn";Huyện;17;20.4997;105.416
