id;name;type;district_id;latitude;longitude
00001;"Phúc Xá";Phường;001;21.0478;105.848
00004;"Trúc Bạch";Phường;001;21.0472;105.839
00006;"Vĩnh Phúc";Phường;001;21.0436;105.808
00007;"Cống Vị";Phường;001;21.0356;105.808
00008;"Liễu Giai";Phường;001;21.0392;105.816
00010;"Nguyễn Trung Trực";Phường;001;21.0433;105.845
00013;"Quán Thánh";Phường;001;21.0406;105.84
00016;"Ngọc Hà";Phường;001;21.04;105.823
00019;"Điện Biên";Phường;001;21.0344;105.835
00022;"Đội Cấn";Phường;001;21.0361;105.825
00025;"Ngọc Khánh";Phường;001;21.0311;105.808
00028;"Kim Mã";Phường;001;21.0314;105.822
00031;"Giảng Võ";Phường;001;21.0283;105.816
00034;"Thành Công";Phường;001;21.0214;105.814
00037;"Phúc Tân";Phường;002;21.0381;105.855
00040;"Đồng Xuân";Phường;002;21.0394;105.848
00043;"Hàng Mã";Phường;002;21.0381;105.845
00046;"Hàng Buồm";Phường;002;21.0364;105.851
00049;"Hàng Đào";Phường;002;21.0353;105.848
00052;"Hàng Bồ";Phường;002;21.0358;105.846
00055;"Cửa Đông";Phường;002;21.0333;105.844
00058;"Lý Thái Tổ";Phường;002;21.0322;105.853
00061;"Hàng Bạc";Phường;002;21.0336;105.851
00064;"Hàng Gai";Phường;002;21.0331;105.847
00067;"Chương Dương Độ";Phường;002;21.0272;105.86
00070;"Hàng Trống";Phường;002;21.0297;105.849
00073;"Cửa Nam";Phường;002;21.0261;105.841
00076;"Hàng Bông";Phường;002;21.0294;105.844
00079;"Tràng Tiền";Phường;002;21.0261;105.853
00082;"Trần Hưng Đạo";Phường;002;21.0239;105.845
00085;"Phan Chu Trinh";Phường;002;21.0225;105.856
00088;"Hàng Bài";Phường;002;21.0222;105.85
00091;"Phú Thượng";Phường;003;21.0856;105.807
00094;"Nhật Tân";Phường;003;21.0783;105.823
00097;"Tứ Liên";Phường;003;21.0686;105.836
00100;"Quảng An";Phường;003;21.0617;105.823
00103;"Xuân La";Phường;003;21.0614;105.803
00106;"Yên Phụ";Phường;003;21.0547;105.838
00109;Bưởi;Phường;003;21.0547;105.811
00112;"Thuỵ Khuê";Phường;003;21.0461;105.823
00115;"Thượng Thanh";Phường;004;21.0669;105.881
00118;"Ngọc Thuỵ";Phường;004;21.0633;105.857
00121;"Giang Biên";Phường;004;21.0672;105.918
00124;"Đức Giang";Phường;004;21.0661;105.896
00127;"Việt Hưng";Phường;004;21.0547;105.901
00130;"Gia Thuỵ";Phường;004;21.0517;105.888
00133;"Ngọc Lâm";Phường;004;21.0478;105.874
00136;"Phúc Lợi";Phường;004;21.0419;105.924
00139;"Bồ Đề";Phường;004;21.0358;105.869
00142;"Sài Đồng";Phường;004;21.0347;105.911
00145;"Long Biên";Phường;004;21.0192;105.886
00148;"Thạch Bàn";Phường;004;21.0222;105.917
00151;"Phúc Đồng";Phường;004;21.0408;105.894
00154;"Cự Khối";Phường;004;21.0067;105.9
00157;"Nghĩa Đô";Phường;005;21.05;105.799
00160;"Nghĩa Tân";Phường;005;21.0481;105.786
00163;"Mai Dịch";Phường;005;21.0358;105.773
00166;"Dịch Vọng";Phường;005;21.035;105.791
00167;"Dịch Vọng Hậu";Phường;005;21.0361;105.783
00169;"Quan Hoa";Phường;005;21.0361;105.799
00172;"Yên Hoà";Phường;005;21.0233;105.791
00175;"Trung Hoà";Phường;005;21.0103;105.799
00178;"Cát Linh";Phường;006;21.0286;105.826
00181;"Văn Miếu";Phường;006;21.0272;105.836
00184;"Quốc Tử Giám";Phường;006;21.0272;105.83
00187;"Láng Thượng";Phường;006;21.0233;105.803
00190;"Ô Chợ Dừa";Phường;006;21.0222;105.822
00193;"Văn Chương";Phường;006;21.0244;105.834
00196;"Hàng Bột";Phường;006;21.0233;105.829
00199;"Láng Hạ";Phường;006;21.0175;105.81
00202;"Khâm Thiên";Phường;006;21.0206;105.837
00205;"Thổ Quan";Phường;006;21.0189;105.831
00208;"Nam Đồng";Phường;006;21.0153;105.829
00211;"Trung Phụng";Phường;006;21.0172;105.836
00214;"Quang Trung";Phường;006;21.0128;105.823
00217;"Trung Liệt";Phường;006;21.0117;105.821
00220;"Phương Liên";Phường;006;21.0125;105.835
00223;"Thịnh Quang";Phường;006;21.0097;105.816
00226;"Trung Tự";Phường;006;21.0072;105.831
00229;"Kim Liên";Phường;006;21.0075;105.833
00232;"Phương Mai";Phường;006;21.0039;105.836
00235;"Ngã Tư Sở";Phường;006;21.0061;105.815
00238;"Khương Thượng";Phường;006;21.0031;105.827
00241;"Nguyễn Du";Phường;007;21.0194;105.843
00244;"Bạch Đằng";Phường;007;21.0158;105.864
00247;"Phạm Đình Hổ";Phường;007;21.0161;105.856
00250;"Bùi Thị Xuân";Phường;007;21.0161;105.848
00253;"Ngô Thì Nhậm";Phường;007;21.0169;105.851
00256;"Lê Đại Hành";Phường;007;21.0133;105.844
00259;"Đồng Nhân";Phường;007;21.0128;105.855
00262;"Phố Huế";Phường;007;21.0122;105.852
00265;"Đống Mác";Phường;007;21.0122;105.857
00268;"Thanh Lương";Phường;007;21.0072;105.87
00271;"Thanh Nhàn";Phường;007;21.0069;105.854
00274;"Cầu Dền";Phường;007;21.0069;105.848
00277;"Bách Khoa";Phường;007;21.005;105.844
00280;"Đồng Tâm";Phường;007;20.9989;105.843
00283;"Vĩnh Tuy";Phường;007;20.9992;105.868
00286;"Bạch Mai";Phường;007;21.0011;105.85
00289;"Quỳnh Mai";Phường;007;21.0017;105.858
00292;"Quỳnh Lôi";Phường;007;21.0011;105.854
00295;"Minh Khai";Phường;007;20.9969;105.854
00298;"Trương Định";Phường;007;20.9964;105.846
00301;"Thanh Trì";Phường;008;20.9953;105.89
00304;"Vĩnh Hưng";Phường;008;20.9883;105.874
00307;"Định Công";Phường;008;20.9839;105.827
00310;"Mai Động";Phường;008;20.9922;105.863
00313;"Tương Mai";Phường;008;20.9883;105.848
00316;"Đại Kim";Phường;008;20.9758;105.822
00319;"Tân Mai";Phường;008;20.9836;105.848
00322;"Hoàng Văn Thụ";Phường;008;20.9872;105.858
00325;"Giáp Bát";Phường;008;20.9847;105.841
